Company name, Telephone, Email, Website
PolyWorks Japan Co. Ltd., 03-6433-3161, info@polyworksjapan.com, https://www.innovmetric.com/ja
Ooka Manufacturing Co. Ltd., 03-3766-6431, toubu@ohoka-ss.co.jp, http://ohoka-ss.co.jp/
Daiko Seiki Co. Ltd., 028-682-3161, kano@precision-ooko.co.jp, http://www.precision-ooko.co.jp/
Ametec Corporation, 03-6809-2401		, ametek-japan.info@ametek.com, http://www.ametek.co.jp/
Osaka Precision Machinery Co. Ltd., 06-6782-0646, host@osk-corp.co.jp, http://www.osk-corp.co.jp/
Obishi Keiki Seisakusho Co. Ltd., 0258-22-1100, tokyo@obishi.co.jp, http://www.obishi.co.jp/
Eastern Electronics Industry Co. Ltd., 047-392-3511		, imai@eaco.co.jp, http://www.eaco.co.jp
Ozaki Manufacturing Co. Ltd., 03-3966-1101, toiawase@peacockozaki.jp, http://www.peacockozaki.jp/
Odiya Seiki Co. Ltd., 0258-82-3331, eigyou@ojiyas.co.jp, http://www.ojiyas.co.jp/
株式会社 科学計器研究所, 0258-24-0646, NaN, http://www.kagakukeiki.co.jp/
Kuroda Seiko Co. Ltd., 044-555-3800, tlg_j@kuroda-precision.co.jp, http://www.kuroda-precision.co.jp/
カールツァイス 株式会社 IMTディビジョン, 0570-02-1310, info.metrology.jp@zeiss.com, http://www.zeiss.co.jp/imt
株式会社 駒谷ゲージ, 06-6781-0975, you@komatani-gauge.co.jp, http://www.komatani-gauge.co.jp/
Furusto Seiki Co. Ltd., 0428-85-2421, NaN, http://www.koriseiki.co.jp/
Swan Corporation, 06-6939-6621, swan@bz01.plala.or.jp, http://www.swan-gauge.com
Sokkensha Co. Ltd., 03-3732-0673, NaN, http://www.sokuhansha.co.jp/
Sasaki Micron Corporation, 06-6782-7887, mikuron@apricot.ocn.ne.jp, 
Daiichi Kensaku Manufacturing Co. Ltd., 0258-84-3911, eigyoukikaku@issoku.jp, https://www.issoku.jp/
Daisei Corporation, 072-761-1651, info@daisei-kk.co.jp, http://www.daisei-kk.co.jp
Diatest Japan Co. Ltd., 072-330-6661, d-info@diatest-j.co.jp, http://www.diatest-j.co.jp/
Teclock Co. Ltd., 0266-22-4911, teclock@teclock.co.jp, http://www.teclock.co.jp/
Doi Precision Wrap Co. Ltd., 03-3741-5641, doi@qc4.so-net.ne.jp, http://www.micro-granite.co.jp/
東亜精機工業 株式会社, 06-6972-2431, info@toaseiki.co.jp, http://www.toaseiki.co.jp/
Tokyo Seimitsu Co. Ltd., 042-642-1701, measuring@accretech.jp, http://www.accretech.jp/
Tokyo Trading Techno System Co. Ltd., 03-6841-8604, NaN, http://www.tbts.co.jp/
Nagai Gauge Manufacturing Co. Ltd., 06-6309-0401, dia-nagaigauge@gol.com, http://www.dia-gauge.co.jp
Nakamura Manufacturing Co. Ltd., 03-3775-1521, tokyo@bestool-kanon.co.jp, http://www.bestool-kanon.co.jp/
Niigata Seiki Co. Ltd., 0256-33-5500, sk.kogu@niigataseiki.co.jp, http://www.niigataseiki.co.jp/
Niigata Riken Measurement Co. Ltd., 0258-89-4141, info@n-rsk.jp, http://n-rsk.jp/
Nikon Corporation / Nikon Instech Co. Ltd., （03）6433-3985, NaN, http://www.nikon-instruments.jp/jpn/index.aspx
日本ゲージ 株式会社, 045-581-3762, eigyou@yokohama-jgc.co.jp, http://www.yokohama-jgc.co.jp/
株式会社 藤田製作所, 0475-34-3311, NaN, http://www.fujitass.co.jp/
Fuji Tool Co. Ltd., 047-363-1166, info@fujitool.co.jp, http://www.fujitool.co.jp/
HEIDENHAIN Co. Ltd., 03-3234-7781, sales@heidenhain.co.jp, http://www.heidenhain.co.jp
Vectricks Corporation, 03-5995-3800, support@vectrix.co.jp, http://www.vectrix.co.jp/
Fallow Japan Co. Ltd., 052-890-5011, japan@faro.com, http://www.faroasia.com/home/jp/
ヘキサゴン・メトロジー 株式会社, 042-700-3500, NaN, http://www.jp.dea.it/
Volume Graphics Co. Ltd., 052-508-9682, sales@volumegraphics.jp, http://www.volumegraphics.jp/
Magnescale Co. Ltd., 03-6632-7920　, NaN, http://www.mgscale.com/mgs/
Mitaka Seiko Co. Ltd., 042-543-5161, tsm@mitakaseiko.com, http://www.mitakaseiko.com/
マーポス 株式会社, 03-3772-7011, sales@jp.marposs.com, http://www.marposs.co.jp/
株式会社 ミツトヨ, 044-813-8201, NaN, http://www.mitutoyo.co.jp/
Mitsubishi Heavy Industries Machine Tool Co. Ltd., 077-553-3300, PPU3301@machinetool.mhi.co.jp, http://www.mhi.co.jp/
Marl Japan Co. Ltd., 045-540-3591, info@mahr.co.jp, http://www.mahr.jp/
Sakai Manwa Manufacturing Co. Ltd., 03-3561-2711, NaN, http://www.yamawa.jp/
Yamaguchi Sangyo Co. Ltd., 06-6768-0800, info@easylaser.co.jp, https://www.yamatech.jp
Riken Measuring Instruments Co. Ltd., 025-794-2401, rkn@bb.wakwak.com, http://www.e-riken.com/
Riken Keikan Co. Ltd., 052-503-1251, endo@r-s-k.co.jp, http://www.r-s-k.co.jp/
Renishaw Corporation, 03-5366-5315, japan@renishaw.com, http://www.renishaw.jp/
